rank,lemma,PoS,DISPERSION,TOT FREQ,SPOKEN,FICTION,POP MAG,NEWSPAPER,ACADEMIC,MAG:News/Opin,MAG:Financial,MAG:Sci/Tech,MAG:Soc/Arts,MAG:Religion,MAG:Sports,MAG:Entertain,MAG:Home/Health,MAG:Afric-Amer,MAG:Children,MAG:Women/Men,NEWS:Misc,NEWS:News_Intl,NEWS:News_Natl,NEWS:News_Local,NEWS:Money,NEWS:Life,NEWS:Sports,NEWS:Editorial,ACAD:History,ACAD:Education,ACAD:Geog/SocSci,ACAD:Law/PolSci,ACAD:Humanities,ACAD:Phil/Rel,ACAD:Sci/Tech,ACAD:Medicine,ACAD:Misc,SPOK:ABC,SPOK:NBC,SPOK:CBS,SPOK:CNN,SPOK:FOX,SPOK:MSNBC,SPOK:PBS,SPOK:NPR,SPOK:Indep,FIC:Gen (Book),FIC:Gen (Jrnl),FIC:SciFi/Fant,FIC:Juvenile,FIC:Movies
31861,conk,v,0.87,124,9,55,39,18,1,5,1,9,2,1,6,0,6,0,4,5,6,0,0,2,1,4,5,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0,0,3,0,9,20,17,2,7
31871,abrogation,n,0.73,147,8,2,12,13,112,5,1,2,1,1,1,0,1,0,0,0,4,1,2,2,1,0,0,3,66,4,5,16,7,7,3,0,4,1,0,0,2,0,1,2,2,0,0,1,1,0,0
31881,inoffensive,j,0.88,122,3,28,30,35,23,8,2,4,4,2,0,4,3,1,0,2,13,2,2,2,1,9,1,5,2,0,4,0,7,3,2,0,5,0,0,0,0,0,0,0,3,0,5,14,5,1,3
31891,locker-room,j,0.88,123,6,22,43,47,3,10,2,0,2,0,16,3,6,4,0,0,9,0,1,0,2,5,28,2,0,0,0,0,1,1,0,0,1,1,0,2,0,1,0,0,2,0,7,11,1,1,2
31901,monosyllabic,j,0.80,134,4,34,18,10,67,4,0,2,0,0,0,5,0,1,0,6,4,1,0,0,0,4,1,0,0,4,2,0,45,1,0,12,3,0,1,0,2,0,0,0,1,0,14,14,5,0,1
31911,Amerindian,j,0.68,158,1,2,14,9,132,0,0,4,2,5,1,0,2,0,0,0,1,0,0,0,0,8,0,0,39,1,20,0,28,3,39,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0
31921,astral,j,0.83,129,3,59,36,12,19,6,0,7,3,0,1,9,7,0,0,3,2,0,1,4,1,4,0,0,0,0,1,0,11,3,1,0,3,0,0,0,0,0,0,1,2,0,7,19,29,0,4
31931,radiative,j,0.72,149,1,2,31,0,115,0,0,28,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,109,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
31941,crinkly,j,0.86,125,1,68,31,20,2,6,1,2,1,0,5,1,10,2,1,2,4,0,1,2,0,11,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,46,10,4,1
31951,long-overdue,j,0.88,122,5,13,35,53,15,12,3,5,4,0,2,2,5,0,0,2,20,1,2,2,1,6,8,13,5,1,0,3,2,2,0,0,2,0,0,1,0,0,0,0,3,1,3,4,5,1,0
31961,sociality,n,0.69,155,0,1,11,0,143,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,41,19,21,12,42,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31971,waist-deep,j,0.87,122,8,43,47,23,1,7,0,4,4,0,20,2,7,0,0,3,7,1,0,2,2,4,7,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,5,0,1,17,11,3,11
31981,early-warning,j,0.85,125,13,6,55,31,20,27,1,14,5,0,0,0,7,0,0,1,8,12,1,1,4,3,0,2,5,1,0,4,0,5,4,1,0,2,0,3,2,1,0,1,4,0,1,0,5,0,0
31991,hora,n,0.83,129,1,42,7,8,71,0,0,0,1,1,0,3,1,0,0,1,4,0,2,0,1,0,0,1,2,0,0,1,59,8,0,0,1,0,0,1,0,0,0,0,0,0,13,25,0,0,4
32001,two-level,j,0.79,134,2,4,25,24,79,5,1,2,2,0,4,0,8,2,0,1,10,0,0,4,1,7,1,1,13,1,1,12,3,1,48,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0
32011,mudflat,n,0.82,129,0,36,20,27,44,7,0,3,0,1,3,0,6,0,0,0,17,0,0,1,1,0,7,1,0,0,5,1,0,1,37,0,0,0,0,0,0,0,0,0,0,0,19,6,8,0,3
32021,zinger,n,0.86,124,34,19,38,31,2,19,3,0,0,1,1,2,8,1,0,3,16,0,0,0,2,11,0,2,0,0,1,1,0,0,0,0,0,2,9,5,8,4,0,0,6,0,3,6,9,0,1
32031,pirated,j,0.86,123,25,12,35,35,16,6,1,16,3,1,2,4,2,0,0,0,11,5,1,0,9,8,0,1,2,0,2,4,4,0,4,0,0,2,0,2,7,0,0,0,14,0,4,3,5,0,0
32041,punchy,j,0.87,122,12,20,47,41,2,9,3,7,2,0,6,4,8,0,0,8,15,1,2,1,5,15,2,0,0,0,0,1,1,0,0,0,0,3,2,0,3,0,1,0,3,0,3,9,6,0,2
